day,store,avg_diff,roi_original,roi
0,Store_A,112.73436094838584,0.1127343609483858,0.7815497024831587
0,Store_B,35.84354210343782,0.0358435421034378,0.851679664934558
0,Store_C,18.543253692389868,0.0185432536923898,0.7287692125740197
0,Store_D,-25.28569936473328,-0.0252856993647332,1.0
0,Store_E,108.4789539991574,0.1084789539991574,0.8711171036810904
1,Store_A,135.71457794607142,0.1357145779460714,0.5697654808712276
1,Store_B,104.89538778598958,0.1048953877859895,0.5541612152638914
1,Store_C,12.110629711053832,0.0121106297110538,0.5360736760109053
1,Store_D,100.06321979334044,0.1000632197933404,0.8240651978422538
1,Store_E,108.44420579758469,0.1084442057975846,0.40238042445862593
2,Store_A,139.01679727732417,0.1390167972773241,0.5055069865773929
2,Store_B,50.97988018603399,0.0509798801860339,0.47303061839611704
2,Store_C,29.46439811617404,0.029464398116174,0.43661770636248626
2,Store_D,107.8471950969346,0.1078471950969346,0.6131646332204927
2,Store_E,80.70303471368565,0.0807030347136856,0.29351988324261746
3,Store_A,150.88522755700964,0.1508852275570096,0.5226465475695129
3,Store_B,73.19705531869347,0.0731970553186934,0.5262731466412012
3,Store_C,25.24947210202623,0.0252494721020262,0.41826980190691526
3,Store_D,-7.357225513383948,-0.0073572255133839,0.46838658018355717
3,Store_E,90.04284434674624,0.0900428443467462,0.38634505818702936
4,Store_A,134.98360972328595,0.1349836097232859,0.5662738486147618
4,Store_B,124.46032464651913,0.1244603246465191,0.627319947795178
4,Store_C,-15.78475635454022,-0.0157847563545402,0.5552167576089116
4,Store_D,-59.47676050722357,-0.0594767605072235,0.26924654856715036
4,Store_E,134.8525880468284,0.1348525880468284,0.49207491900488787
5,Store_A,88.25135484311846,0.0882513548431184,0.455563021062391
5,Store_B,97.89686345028868,0.0978968634502887,0.7245178105346256
5,Store_C,21.191464078466534,0.0211914640784665,0.5254220282498491
5,Store_D,265.2682669611897,0.2652682669611896,0.38266004076511884
5,Store_E,12.204127841196469,0.0122041278411964,0.41083569987059904
6,Store_A,109.81663474422288,0.1098166347442228,0.39879347266207404
6,Store_B,100.46395000780868,0.1004639500078087,0.5493889669824837
6,Store_C,35.45715463960829,0.0354571546396082,0.5874641220096842
6,Store_D,1.4077333739547573,0.0014077333739547,0.6511594055624517
6,Store_E,63.258156237908345,0.0632581562379083,0.3390809744092652
7,Store_A,97.40393212566012,0.0974039321256601,0.442154149656067
7,Store_B,92.01454805001715,0.0920145480500171,0.42496297607325456
7,Store_C,23.51913887995801,0.023519138879958,0.6694375005685065
7,Store_D,149.0858071980973,0.1490858071980973,0.5593795109713753
7,Store_E,37.60578477082379,0.0376057847708238,0.4464624615010125
8,Store_A,146.24515557614316,0.1462451555761431,0.5865061828795871
8,Store_B,32.02357161271711,0.0320235716127171,0.4544982851817939
8,Store_C,45.809827966111634,0.0458098279661116,0.6407565297720164
8,Store_D,56.5899675717852,0.0565899675717852,0.36403088221851676
8,Store_E,107.69667575209756,0.1076966757520975,0.5020611277683036
9,Store_A,163.26215096169952,0.1632621509616995,0.7139442025926065
9,Store_B,90.09867983665902,0.090098679836659,0.532182701021652
9,Store_C,20.88402616593967,0.0208840261659396,0.4803322751067969
9,Store_D,-56.295938671301826,-0.0562959386713018,0.29000506954305605
9,Store_E,152.0988529498349,0.1520988529498349,0.5259299496798905
10,Store_A,228.23784409629775,0.2282378440962977,0.7168844560736284
10,Store_B,150.48105718568485,0.1504810571856848,0.6214893811048245
10,Store_C,16.96039028048509,0.016960390280485,0.4068270781167502
10,Store_D,46.33478578903808,0.046334785789038,0.205631412511246
10,Store_E,37.69198632412323,0.0376919863241232,0.5700388226009883
11,Store_A,171.55500884042922,0.1715550088404292,0.6175721589336545
11,Store_B,120.32662899379574,0.1203266289937957,0.582342057841694
11,Store_C,12.841698149937953,0.0128416981499379,0.27398441201428664
11,Store_D,41.57834790651904,0.041578347906519,0.481531706767331
11,Store_E,115.0209931577893,0.1150209931577893,0.5510708615242865
12,Store_A,130.78753022955274,0.1307875302295527,0.5491440105250099
12,Store_B,72.21707265116434,0.0722170726511643,0.4165029879098392
12,Store_C,21.034382937578854,0.0210343829375788,0.304720440153795
12,Store_D,139.33741356935272,0.1393374135693527,0.5258014544761797
12,Store_E,145.2947823025711,0.1452947823025711,0.7289785013797018
13,Store_A,172.5974210566912,0.1725974210566911,0.4241021248524558
13,Store_B,47.435141970120895,0.0474351419701208,0.28144351499847575
13,Store_C,16.69313122609055,0.0166931312260905,0.3632583988167615
13,Store_D,105.31028191730884,0.1053102819173088,0.6466447989695709
13,Store_E,168.67017832666676,0.1686701783266667,0.8122793513734535
14,Store_A,161.7862085204778,0.1617862085204778,0.5147354227751537
14,Store_B,87.26163979686261,0.0872616397968626,0.30696408225444877
14,Store_C,34.829880391285855,0.0348298803912858,0.5072453221116398
14,Store_D,17.598577487219025,0.017598577487219,0.5384393195024385
14,Store_E,176.18822688694874,0.1761882268869487,0.6577685171688971
15,Store_A,163.69291678870366,0.1636929167887036,0.5554566223672427
15,Store_B,101.83172523903848,0.1018317252390384,0.4956503739774139
15,Store_C,39.89877159314884,0.0398987715931488,0.5217490995751499
15,Store_D,134.1794383544665,0.1341794383544665,0.43332820425257196
15,Store_E,93.16474930663762,0.0931647493066376,0.5112281570673136
16,Store_A,166.05893502740037,0.1660589350274003,0.540343138374643
16,Store_B,90.0957122087155,0.0900957122087155,0.5088325737816459
16,Store_C,27.87580237352248,0.0278758023735224,0.4545301748346713
16,Store_D,26.76651326140921,0.0267665132614092,0.6182174430475493
16,Store_E,89.47840119732027,0.0894784011973202,0.3798688959045466
17,Store_A,157.7004820981897,0.1577004820981897,0.5949921818989071
17,Store_B,150.63754321113868,0.1506375432111386,0.47184622344492133
17,Store_C,24.56266847000265,0.0245626684700026,0.4961928498400119
17,Store_D,219.61586619434385,0.2196158661943438,0.7051333783086613
17,Store_E,112.7929612112937,0.1127929612112937,0.24671495170838106
18,Store_A,210.40363138966725,0.2104036313896672,0.617341789595259
18,Store_B,62.759186122618566,0.0627591861226185,0.3967991772750501
18,Store_C,21.559626699346115,0.0215596266993461,0.48134561642741214
18,Store_D,163.89714455392092,0.1638971445539209,0.7291177689815999
18,Store_E,99.98466632303534,0.0999846663230353,0.30488902175218857
19,Store_A,154.50154832335323,0.1545015483233532,0.497399221920552
19,Store_B,78.93566036316213,0.0789356603631621,0.43172822144031586
19,Store_C,38.9086399256854,0.0389086399256854,0.43699536611372547
19,Store_D,58.98799871609478,0.0589879987160947,0.8401828685924116
19,Store_E,48.77487079191332,0.0487748707919133,0.2821276673951069
20,Store_A,149.86998070097752,0.1498699807009775,0.501709300480646
20,Store_B,78.91377129980789,0.0789137712998079,0.5181725853308627
20,Store_C,-9.733364812161977,-0.0097333648121619,0.550289538547603
20,Store_D,225.84967402032535,0.2258496740203253,0.7007684130129143
20,Store_E,83.667361353222,0.083667361353222,0.21266091422503133
21,Store_A,116.73896896955594,0.1167389689695559,0.447716796026186
21,Store_B,142.32172875098115,0.1423217287509811,0.6394188041856291
21,Store_C,20.32471994944294,0.0203247199494429,0.5974562511687259
21,Store_D,71.70801848534347,0.0717080184853434,0.5616470369942447
21,Store_E,71.29771096943385,0.0712977109694338,0.24084809875500093
22,Store_A,129.5882457907954,0.1295882457907954,0.46773180270295334
22,Store_B,78.30017005203815,0.0783001700520381,0.6993749875379714
22,Store_C,28.50508524655374,0.0285050852465537,0.5920492075350682
22,Store_D,67.48199061722312,0.0674819906172231,0.4072554133076157
22,Store_E,29.108103722331567,0.0291081037223315,0.32754962768559476
23,Store_A,150.6283241991819,0.1506283241991819,0.46745568918633024
23,Store_B,132.1738073698112,0.1321738073698112,0.8076056524928203
23,Store_C,43.15715252343663,0.0431571525234366,0.6752449793133748
23,Store_D,-124.40609715038384,-0.1244060971503838,0.08193170226377616
23,Store_E,94.0516745933438,0.0940516745933437,0.48422523167332104
