store,date,avg_diff,avg_g,total_diff,note
エスパス秋葉原駅前店 ,8/17(⽇),41,4525,21408,いざ！番⻑
エスパス秋葉原駅前店 ,8/16(⼟),-78,4988,-40895,L 真・⼀騎当千
エスパス秋葉原駅前店 ,8/15(⾦),21,4232,11305,吉宗
エスパス秋葉原駅前店 ,8/14(⽊),43,4576,22827,"8/13(⽔) -30 4,143 -15,792"
エスパス秋葉原駅前店 ,8/12(⽕),81,3977,42219,Lパチスロガールズ＆パンツァー 最終章
エスパス秋葉原駅前店 ,8/11(⽉),-185,4743,-96137,スマスロ 七つの魔剣が⽀配する
エスパス秋葉原駅前店 ,8/10(⽇),389,5167,202172,スマスロ痛いのは嫌なので防御⼒に極振りしたいと思います。
エスパス秋葉原駅前店 ,8/9(⼟),-210,4275,-109362,いざ！番⻑
エスパス秋葉原駅前店 ,8/8(⾦),42,4545,22055,スマスロ 七つの魔剣が⽀配する
エスパス秋葉原駅前店 ,8/7(⽊),-56,3123,-29453,"8/6(⽔) +150 3,521 +78,092 アズールレーン THE ANIMATION"
エスパス秋葉原駅前店 ,8/5(⽕),-196,3150,-101949,"8/4(⽉) +336 4,258 +174,838 翔べ！ハーレムエース"
エスパス秋葉原駅前店 ,8/3(⽇),-53,4421,-27576,回胴黙⽰録カイジ 狂宴
エスパス秋葉原駅前店 ,8/2(⼟),565,5107,293378,スマスロ マギアレコード 魔法少⼥まどか☆マギカ外伝
エスパス秋葉原駅前店 ,8/1(⾦),196,3743,101773,Lソードアート・オンライン
エスパス秋葉原駅前店 ,7/31(⽊),707,4762,367204,スマスロ マギアレコード 魔法少⼥まどか☆マギカ外伝
エスパス秋葉原駅前店 ,7/30(⽔),-185,2591,-96158,"7/29(⽕) -16 2,631 -8,311"
エスパス秋葉原駅前店 ,7/28(⽉),83,3235,43567,わたしの幸せな結婚
エスパス秋葉原駅前店 ,7/27(⽇),25,5092,13108,スマスロ ようこそ実⼒⾄上主義の教室へ
エスパス秋葉原駅前店 ,7/26(⼟),37,5179,19587,Lバンドリ！
エスパス秋葉原駅前店 ,7/25(⾦),67,3520,34881,"7/24(⽊) +323 3,882 +168,136 スマスロ シャーマンキング"
エスパス秋葉原駅前店 ,7/23(⽔),-191,2598,-99559,⽇付 平均差枚 平均G数 総差枚 優秀機種・末尾
エスパス秋葉原駅前店 ,7/22(⽕),62,3326,32640,末尾ゾロ⽬
