distribution,m,bandit_final_avg_rev,plugin_final_avg_rev,baseline_best_reserve,baseline_best_revenue
uniform,2,0.41277318819459835,0.41729600213406237,0.498,0.41852828001766834
uniform,5,0.6725379364702646,0.6751417955031852,0.492,0.6743537178370288
uniform,10,0.8171845628424832,0.8169751452862781,0.192,0.819853238234535
quadratic,2,0.5792722081244402,0.5836025007342057,0.581,0.5863392078067362
quadratic,5,0.8065335250037158,0.8095031248416523,0.528,0.809758741875203
quadratic,10,0.9014209825584326,0.9021715909112498,0.39,0.9031242520978059
