round,regret1_mean,regret1_std,regret2_mean,regret2_std
0,0.48989898989898967,2.7755575615628914e-16,0.48989898989898967,2.7755575615628914e-16
1,0.5712626262626261,0.24113916020046497,0.5949999999999999,0.2610712461997424
2,0.7290404040404042,0.3960905878718056,0.6757070707070707,0.2976005933322701
3,0.8834343434343437,0.4645293440445077,0.8135353535353534,0.36124118586883425
4,1.0331818181818182,0.5238969760614914,0.8817676767676766,0.4024761988031089
5,1.1732828282828283,0.6196077232747838,0.976919191919192,0.420705709554348
6,1.308131313131313,0.6354625233720284,1.0798484848484855,0.48328171462644454
7,1.380757575757575,0.6583991086621499,1.1874242424242423,0.549065347049956
8,1.5251010101010096,0.62433576784051,1.2468181818181818,0.5716076986777153
9,1.585252525252525,0.6730037348634016,1.3092929292929296,0.6283368712344345
10,1.6866666666666668,0.7025293989377233,1.3875757575757575,0.689995342074482
11,1.7577777777777774,0.7470972019491773,1.4813131313131307,0.7374780263873241
12,1.8536363636363644,0.8147756070651482,1.5570707070707073,0.7244109309063825
13,1.9473232323232323,0.8200717836467972,1.6261111111111106,0.7905324564091356
14,2.067323232323233,0.8750250495634593,1.7213636363636358,0.8308607502263585
15,2.1466161616161625,0.9046427244115387,1.804494949494949,0.8436464062325564
16,2.270959595959596,0.9079713574897802,1.8773232323232318,0.8393855203238949
17,2.4222222222222225,0.9686547429395487,1.9178787878787882,0.8863550375133278
18,2.557979797979798,0.9547889914328782,1.96459595959596,0.912185947734653
19,2.657373737373736,0.9683049035748572,2.0638888888888887,0.8964813983354443
20,2.759444444444443,0.9688510764961307,2.1411111111111105,0.9106716951981421
21,2.8919696969696975,1.0086170652673565,2.190707070707071,0.8987487248851057
22,3.0292929292929314,1.0185602851997841,2.240252525252525,0.9161040527949831
23,3.1736868686868696,1.0071436239470608,2.2967171717171717,0.9118695959871156
24,3.294292929292929,1.0338683249798262,2.3357070707070697,0.9451794404101387
25,3.389898989898991,1.0521444569884852,2.349040404040403,0.9361690858985372
26,3.498030303030303,1.0750277068299188,2.4387373737373736,0.9252375431608685
27,3.630606060606061,1.0859426840818567,2.5036363636363648,0.9317479867349403
28,3.7294444444444452,1.0871404824721282,2.561414141414141,0.953408740095903
29,3.8395959595959606,1.1774035044731603,2.619393939393939,0.969557155324573
30,4.001818181818182,1.2045350824363381,2.6647979797979797,0.9690348262788977
31,4.119191919191919,1.2497868403090064,2.6590404040404043,0.9704307238104818
32,4.298686868686867,1.2664115018553115,2.6822727272727276,0.9777402360999818
33,4.423484848484849,1.3141969986070745,2.7199999999999993,1.0133438652329145
34,4.5993939393939405,1.3233714708239859,2.7598989898989896,1.0278395534011937
35,4.748535353535354,1.3502310214721711,2.797424242424242,1.0638315300047376
36,4.867878787878788,1.3678205018246048,2.8401515151515144,1.0947680938762567
37,5.0097979797979795,1.3826852860079346,2.916313131313131,1.1426348292990338
38,5.1551515151515135,1.401502335003734,2.9472222222222224,1.171823918639783
39,5.2799494949494985,1.4050979330673188,2.96651515151515,1.1862441199995242
40,5.384494949494954,1.4408519383454548,3.0211111111111126,1.223367728494805
41,5.515353535353536,1.4736054662272695,3.058282828282829,1.2703989886842462
42,5.664848484848484,1.4491909229603581,3.0937878787878774,1.2884091312470063
43,5.760656565656567,1.4732168089063744,3.140050505050504,1.299653414396035
44,5.898080808080807,1.499992072216577,3.19929292929293,1.3400169986145176
45,6.089494949494948,1.5161740791821503,3.215000000000001,1.3395594712755283
46,6.240101010101009,1.5227322846961764,3.2509090909090905,1.3142522177838631
47,6.369545454545456,1.5485021536982648,3.2708080808080795,1.3359682374656947
48,6.532020202020204,1.5820607261448847,3.2915656565656546,1.3481809998915297
49,6.651212121212127,1.5777287625439147,3.3631313131313134,1.3528447846391605
50,6.813535353535355,1.574025154896229,3.3699494949494966,1.3563248383540014
51,6.932474747474748,1.64475117740277,3.4292929292929313,1.3817325273234207
52,7.072525252525252,1.6952339788467035,3.472878787878791,1.4248524116411847
53,7.212777777777778,1.7266603047735845,3.47757575757576,1.411882091284477
54,7.360252525252525,1.7300254300069013,3.5126262626262656,1.387426135144348
55,7.4985858585858605,1.7229368581588607,3.5635858585858613,1.3957697496585275
56,7.639646464646469,1.728037572849111,3.6016666666666692,1.4356006467387228
57,7.829242424242425,1.7867198913386204,3.619393939393939,1.4302497992719723
58,7.957373737373739,1.7802869574458917,3.6648989898989925,1.4249740894115706
59,8.113030303030303,1.7943852077091875,3.6882323232323238,1.4427331204173937
60,8.258282828282825,1.832218964547508,3.7008585858585854,1.4463907306815291
61,8.389545454545456,1.8592680531872456,3.7366161616161633,1.4740562194461748
62,8.519747474747474,1.876545459737923,3.7966666666666673,1.4811178689835132
63,8.644797979797984,1.8864733724656533,3.8535353535353534,1.5175797041181025
64,8.791060606060608,1.9404400134167519,3.873838383838385,1.5362414331890777
65,8.928434343434342,1.9412775016557664,3.92580808080808,1.5675315743903022
66,9.041060606060604,1.9218986302520742,3.9632323232323228,1.5705833333313028
67,9.20111111111111,1.945025412355505,3.963636363636363,1.559728758673312
68,9.306464646464645,2.0162903898067195,4.0137878787878805,1.5954050396647548
69,9.460808080808077,2.0733776964005948,4.056767676767678,1.5892812130024863
70,9.61212121212121,2.0867273852834227,4.079848484848486,1.6089741844517016
71,9.73348484848485,2.0984975330543234,4.113333333333337,1.6096105104361744
72,9.885454545454543,2.1221548987153156,4.1296969696969725,1.6123259217892851
73,10.034949494949492,2.102396187110988,4.148939393939396,1.655793503062259
74,10.16424242424242,2.1203780803797043,4.188434343434347,1.6539071879425187
75,10.280202020202019,2.183566975911663,4.2253030303030314,1.7013666423462652
76,10.4040404040404,2.23833654637712,4.267878787878789,1.7083283753950171
77,10.60388888888889,2.2540316626776606,4.270757575757576,1.7066752717239364
78,10.745757575757574,2.2973363756790257,4.3093939393939396,1.706583461035126
79,10.88535353535353,2.3224790720034214,4.338838383838383,1.6953897910864137
80,11.03979797979797,2.3301449947068753,4.362929292929294,1.6880623944288762
81,11.202626262626262,2.2998647258853473,4.375252525252525,1.7006157470127872
82,11.307828282828277,2.3191929502998065,4.4282828282828275,1.7327912610973255
83,11.432777777777776,2.3415837231927314,4.4714646464646455,1.7210718298625962
84,11.562323232323235,2.3775408191876246,4.5452525252525255,1.713877845012812
85,11.732777777777779,2.4292679491145113,4.584393939393941,1.7111417142445988
86,11.865606060606053,2.4294103055496685,4.624040404040405,1.7683760983171786
87,11.978787878787873,2.4275783024758537,4.67227272727273,1.7871408759407084
88,12.111111111111109,2.494535809976344,4.73479797979798,1.8354193401421788
89,12.244494949494943,2.5028912059531976,4.765707070707073,1.8583566359251722
90,12.355252525252517,2.52106119036381,4.800050505050506,1.8787832756270342
91,12.499696969696961,2.5477726958308984,4.835505050505051,1.8764991292954853
92,12.609040404040398,2.558595837451174,4.885454545454546,1.8881316853164172
93,12.730505050505046,2.5674893557080782,4.917575757575758,1.868742680029235
94,12.881010101010094,2.5307771204482457,4.953939393939394,1.8638341686928332
95,13.073484848484846,2.5465528309429515,4.988484848484849,1.8436515826058633
96,13.225656565656571,2.5702227997357685,4.998737373737375,1.8548290939486571
97,13.434646464646459,2.601267891510545,5.003030303030304,1.8511256457935654
98,13.593080808080801,2.6011727177762096,5.037676767676766,1.8365375927429894
99,13.723636363636349,2.6116299896689905,5.083585858585858,1.8766788389179476
100,13.855151515151508,2.632398996560771,5.147121212121212,1.8649826314993705
101,13.988989898989892,2.6643956870375605,5.19368686868687,1.8604387139726302
102,14.129545454545436,2.6850805144624577,5.260303030303032,1.8357802103509722
103,14.301111111111107,2.6514141183252313,5.291565656565659,1.8344306000682324
104,14.493080808080801,2.678865925760211,5.3285858585858605,1.8460875910799583
105,14.623080808080806,2.7118673258327077,5.3669696969697,1.8537500522450043
106,14.769292929292924,2.732559119002355,5.41520202020202,1.8589992259628316
107,14.940454545454536,2.7334838826711096,5.411565656565657,1.8903758387293987
108,15.105808080808076,2.771145192237595,5.454191919191919,1.915142492280455
109,15.289999999999994,2.775840939083116,5.46691919191919,1.913386937873013
110,15.457323232323226,2.816182754203083,5.504191919191917,1.9271984843449383
111,15.606262626262623,2.790632964694272,5.546767676767673,1.9291877675078215
112,15.735808080808077,2.8373921391141845,5.577070707070702,1.917859401842639
113,15.894545454545446,2.806769485257573,5.576969696969695,1.9380008833156581
114,16.088232323232315,2.8293378673418768,5.607979797979798,1.9242176063512637
115,16.262070707070702,2.864255709038287,5.6328282828282825,1.9438899248660975
116,16.46696969696968,2.8714447743840483,5.638989898989898,1.9676778669650345
117,16.624999999999986,2.884751166818325,5.655252525252527,1.9801775842012135
118,16.78565656565654,2.9239480426133424,5.704696969696969,1.9721371125856513
119,16.936565656565648,2.91531507622659,5.732626262626261,1.9425726028950927
120,17.105909090909076,2.914284037526616,5.774595959595957,1.9446781513755704
121,17.277474747474724,2.938889090249442,5.814090909090907,1.9529787387435358
122,17.42348484848482,2.9558087064579213,5.839191919191918,1.969278344532609
123,17.594949494949475,3.0164334956315413,5.855909090909089,1.9638242488936775
124,17.770303030303005,3.0480341086271094,5.86595959595959,1.9727494374152486
125,17.90196969696967,3.0835601298963113,5.9184848484848445,1.987014011313207
126,18.03868686868684,3.0828728153183587,5.962222222222218,1.9694018789573517
127,18.1743434343434,3.096922542090931,6.001818181818179,1.9760643675383267
128,18.323333333333295,3.118475065804959,6.039595959595955,2.013056392955822
129,18.471010101010073,3.122657523844593,6.051414141414139,2.0112708361859712
130,18.613484848484816,3.1142197553682616,6.087878787878784,2.0187690624985493
131,18.7873737373737,3.130719925889525,6.1265151515151475,2.034418961689676
132,18.9342929292929,3.128166836970553,6.148333333333332,2.047290690401091
133,19.118888888888854,3.143983361016636,6.13474747474747,2.0515167529548326
134,19.30489898989896,3.163263573037631,6.170606060606056,2.0632643503958317
135,19.4853535353535,3.1576779858335833,6.176313131313127,2.043341356976988
136,19.655151515151477,3.1549930692820105,6.212272727272724,2.021416106774377
137,19.806868686868643,3.2187549122897083,6.248080808080809,2.026105802767408
138,19.96676767676764,3.2329189144924073,6.269999999999999,2.030442783772462
139,20.1303535353535,3.236141817563185,6.3007070707070705,2.0455517398032828
140,20.322626262626226,3.274046395208788,6.302020202020203,2.0433835381671894
141,20.499292929292896,3.2956430550982834,6.330252525252527,2.045697440996591
142,20.68308080808076,3.280844107053883,6.35151515151515,2.0291478697820633
143,20.81929292929289,3.2470813325014607,6.378282828282826,2.014072076149644
144,20.971717171717124,3.2336515578698912,6.423737373737372,2.0082984532379253
145,21.104696969696917,3.263317847003918,6.457373737373738,1.9913245829174044
146,21.276313131313085,3.288885654376938,6.469444444444448,1.9819309751518364
147,21.435101010100958,3.3170974639968556,6.5024242424242455,1.9878003187271955
148,21.593434343434286,3.3491780975622567,6.516919191919194,1.9898439174812572
149,21.749949494949433,3.385735974416818,6.562070707070706,2.007316773206751
150,21.940606060605997,3.389130952230383,6.575656565656561,2.041496604674943
151,22.11338383838379,3.388049571281283,6.592929292929295,2.0744005001338675
152,22.30025252525247,3.4011660507155765,6.609898989898986,2.0667350571738456
153,22.482323232323164,3.4084335692484693,6.638232323232322,2.0825496113873037
154,22.655454545454475,3.4225376093446656,6.68757575757576,2.1124569220520866
155,22.815555555555484,3.448385248246534,6.720505050505055,2.1247862169421654
156,23.012929292929226,3.449700092987484,6.729747474747478,2.1212478947199953
157,23.190808080808026,3.48468471142027,6.7428787878787935,2.120081119237601
158,23.335606060606,3.5252628270376882,6.797777777777785,2.1131115069469892
159,23.492828282828224,3.563895620622782,6.818535353535358,2.10527190800913
160,23.66924242424235,3.570932264340266,6.838282828282835,2.077607249328177
161,23.83611111111103,3.594477362700744,6.871767676767684,2.1091459239264267
162,24.000707070706994,3.568538482535453,6.911262626262635,2.1189042586008027
163,24.193787878787802,3.6006683543759057,6.918535353535366,2.1228044354235647
164,24.383181818181743,3.628426990834083,6.945505050505062,2.1503495793562064
165,24.55348484848477,3.6477229351292566,6.961666666666676,2.1527653330603913
166,24.729242424242344,3.6244398991699973,6.990858585858598,2.1659530852663322
167,24.903888888888805,3.630634548009716,7.0028787878788,2.1746496826432056
168,25.060707070706993,3.665987845169474,7.017676767676776,2.1977859275573373
169,25.26631313131306,3.673300400256872,7.013989898989908,2.1938079949071527
170,25.471363636363563,3.635395497875951,7.025858585858591,2.212091840587261
171,25.655252525252443,3.659209910857391,7.0535353535353575,2.2249145765561735
172,25.81494949494942,3.6900748837508406,7.084595959595962,2.235515380152063
173,25.98616161616153,3.7241264416357107,7.0920202020202145,2.230992402334798
174,26.191111111111013,3.7360764005474043,7.1092929292929385,2.2384764275420874
175,26.32833333333323,3.7442927692016212,7.119949494949505,2.2525521327154636
176,26.510454545454465,3.7706106901313463,7.126919191919197,2.2586288478905137
177,26.679494949494867,3.762069880902913,7.156464646464651,2.2789974091470344
178,26.884848484848394,3.7679467501502724,7.166868686868695,2.302576590076444
