mc_run,regret1,regret2,utility1,utility2,win_rate1,win_rate2
0,5.994949494959542,75.73737373737691,383.4242424242255,338.20202020204187,0.498,0.502
1,3.904040404056957,83.71212121214614,331.87373737372974,269.1363636363481,0.5191,0.4809
2,3.3989898990010374,83.93434343437019,347.0252525252507,286.7727272727104,0.513,0.487
3,4.5959595959693615,76.38383838384226,390.3282828282609,342.5808080808207,0.4996,0.5004
4,4.207070707082039,82.23737373740141,345.3484848484829,289.5606060605883,0.5114,0.4886
5,6.09595959596777,72.16666666668789,371.55555555554434,334.57575757577314,0.4873,0.5127
6,5.540404040412568,66.27777777779283,374.28282828281493,340.9191919192129,0.4838,0.5162
7,3.7171717171802925,75.58585858587543,357.4141414141425,309.6262626262561,0.5046,0.4954
8,4.80808080808805,73.89898989900053,360.8484848484874,316.90909090909076,0.499,0.501
9,6.777777777789083,68.07070707071665,389.409090909067,349.883838383847,0.4998,0.5002
10,6.797979797989342,68.37373737374281,360.53535353535386,326.1515151515203,0.493,0.507
11,5.5404040404149555,78.74242424244386,353.772727272726,305.66161616160684,0.5078,0.4922
12,5.353535353543464,75.56565656567801,373.2070707070576,331.3282828282979,0.4924,0.5076
13,3.7929292929399026,83.15656565659054,349.19696969696855,289.65151515150023,0.5164,0.4836
14,4.444444444457645,82.24242424245222,337.11111111110705,277.91919191917356,0.523,0.477
15,6.43434343435456,76.56565656566335,418.6414141413717,366.13636363633395,0.5096,0.4904
16,5.1464646464756925,73.06060606061169,378.7171717171572,338.3030303030538,0.4921,0.5079
17,4.540404040410806,76.69191919193378,360.0656565656596,310.56060606060186,0.4975,0.5025
18,3.39898989900081,85.61111111113655,349.87373737373593,289.35858585857045,0.5132,0.4868
19,4.959595959609317,77.01515151515923,402.13636363633066,348.13636363636215,0.5071,0.4929
20,4.126262626274411,75.4393939394015,363.36868686868496,321.55050505050815,0.4928,0.5072
21,3.5404040404163766,87.32828282831133,340.3787878787847,276.53030303028424,0.5182,0.4818
22,6.469696969707741,76.64141414141955,390.82828282825756,340.9595959596093,0.5051,0.4949
23,3.4595959596101125,72.92424242424522,366.5202020201978,326.9545454545534,0.487,0.513
24,4.6111111111221135,78.4696969697244,343.7525252525235,288.3989898989723,0.5183,0.4817
25,4.964646464658244,79.4494949495209,347.6010101010077,293.1565656565497,0.5066,0.4934
26,5.24242424243306,77.00000000002012,352.0909090909098,303.909090909081,0.5014,0.4986
27,3.575757575768648,85.04040404043326,344.6868686868669,282.43434343432403,0.5171,0.4829
28,3.126262626277253,85.62121212123895,338.1060606060551,273.5707070706898,0.5213,0.4787
29,6.469696969703762,74.40909090910316,358.68181818182114,314.6414141414123,0.498,0.502
30,7.747474747485057,73.49494949495454,379.398989898971,340.9242424242614,0.5004,0.4996
31,3.297979797994742,84.79292929295451,338.5202020201962,274.15656565655,0.5254,0.4746
32,3.101010101028521,85.20202020204357,330.4343434343339,263.52525252523844,0.5231,0.4769
33,4.27777777778789,75.39898989899973,363.6616161616159,318.6414141414149,0.497,0.503
34,3.8434343434477114,82.09595959598596,346.2979797979758,287.15656565654916,0.5125,0.4875
35,4.873737373746621,74.30808080809021,361.48989898989953,320.56060606060726,0.4965,0.5035
36,4.060606060614532,74.28282828283801,362.12121212121343,319.31313131313215,0.5023,0.4977
37,5.9595959596071,80.36363636363967,407.9545454545097,352.9949494949388,0.5052,0.4948
38,4.303030303038554,80.79797979799673,358.0000000000015,307.8080808080743,0.5048,0.4952
39,5.444444444449289,70.40404040403706,368.1414141414082,333.63636363637784,0.4879,0.5121
40,3.747474747484887,81.97979797982191,350.7777777777771,292.2020202020063,0.5133,0.4867
41,3.101010101021359,84.00000000002689,346.61616161615973,285.5151515151345,0.5156,0.4844
42,4.292929292938936,78.38383838386073,352.1919191919191,298.02020202018974,0.5106,0.4894
43,3.580808080818713,87.2171717172015,348.1161616161604,281.429292929273,0.5212,0.4788
44,6.020202020214242,74.11616161616871,386.5808080807841,342.44949494950833,0.4981,0.5019
45,6.585858585871335,75.33333333333763,394.72727272724467,349.5656565656589,0.5022,0.4978
46,5.34848484849573,74.89393939394387,390.28282828280646,343.51515151516446,0.5019,0.4981
47,3.6363636363735736,81.97979797982106,352.7676767676764,295.15151515150217,0.5118,0.4882
48,5.035353535367847,77.29797979798462,400.79797979794733,349.797979797978,0.5069,0.4931
49,2.6414141414318806,84.10606060608637,334.65151515150643,270.823232323216,0.521,0.479
50,4.0050505050606375,75.40404040404542,383.3939393939219,336.5151515151747,0.5004,0.4996
51,3.404040404059913,87.5454545454748,325.1212121212013,256.9797979797869,0.5279,0.4721
52,3.919191919203058,75.96969696970558,362.363636363635,320.4545454545475,0.492,0.508
53,6.070707070716708,78.47474747476895,350.9999999999999,299.4444444444331,0.5096,0.4904
54,4.626262626275434,71.00000000000597,383.3282828282636,344.07575757577456,0.4939,0.5061
55,3.565656565665563,78.12121212122275,364.41414141414225,315.070707070707,0.5,0.5
56,4.888888888900965,76.54545454548094,345.6161616161589,290.8888888888723,0.5136,0.4864
57,3.904040404056275,83.08585858588566,335.38888888888204,272.4696969696794,0.5198,0.4802
58,4.717171717180349,77.69696969699152,352.111111111112,301.9595959595843,0.5099,0.4901
59,3.676767676778752,82.71717171719553,350.78787878787716,293.02020202018826,0.5079,0.4921
60,4.737373737382256,77.76767676769123,358.85858585858705,311.26262626262223,0.5037,0.4963
61,3.5151515151663943,85.68686868689502,339.676767676762,272.5757575757408,0.5291,0.4709
62,5.767676767690034,72.14141414141687,363.52525252524913,328.2626262626343,0.4924,0.5076
63,5.4898989899108415,78.27777777777845,389.5606060605837,341.7222222222363,0.5007,0.4993
64,3.7323232323304296,82.4898989899209,354.18686868687104,297.3484848484731,0.5094,0.4906
65,3.5707070707258595,85.41919191921545,328.5101010100911,263.752525252511,0.5214,0.4786
66,7.176767676777899,80.58080808081098,416.73737373733337,361.76767676765155,0.5066,0.4934
67,5.50505050506132,78.40404040406577,346.5757575757562,294.6060606060452,0.513,0.487
68,5.161616161628956,74.44444444444821,365.0808080808052,325.7979797979868,0.4909,0.5091
69,3.3282828282913783,82.09595959597783,357.8030303030314,304.73232323231537,0.5062,0.4938
70,4.181818181827055,81.1212121212343,353.73737373737447,299.5050505050385,0.5118,0.4882
71,4.388888888896474,78.89393939395882,354.2373737373757,301.3686868686776,0.5106,0.4894
72,4.474747474759056,82.37373737376583,343.4848484848462,284.01010101008234,0.5199,0.4801
73,3.171717171728801,82.76767676770527,343.6767676767653,284.5050505050318,0.5173,0.4827
74,2.8888888889064788,87.87878787880697,317.8989898989808,250.6868686868586,0.5219,0.4781
75,6.111111111123591,71.27272727272941,364.6767676767651,329.6565656565743,0.491,0.509
76,2.515151515166963,89.51515151517668,335.0404040403976,266.04040404038835,0.5231,0.4769
