round,bid1_mean,bid1_std,bid2_mean,bid2_std
0,9.0,0.0,6.0,0.0
1,4.533636363636363,2.5238582231532956,2.959393939393939,1.7601872969878805
2,4.826363636363635,2.428756611454913,3.1993939393939366,1.7988118719301578
3,4.467272727272728,2.667280163588816,2.8575757575757574,1.7528332043934598
4,4.558181818181819,2.5069167128085206,3.145454545454547,1.6909308133719283
5,4.254545454545454,2.4407017010254304,2.8745454545454545,1.6119675251418775
6,4.667272727272728,2.242055579850887,2.7703030303030305,1.5531074925385067
7,4.814545454545455,2.134444786227685,2.779393939393941,1.6870711304155872
8,4.386363636363635,2.2451922923776633,2.876363636363638,1.5368726668540398
9,4.544545454545454,2.1525497085860494,3.2048484848484846,1.5226789981794544
10,4.248181818181817,2.137962844384098,3.26969696969697,1.7639877812961129
11,4.618181818181821,2.115741864302835,2.955757575757577,1.6260472785457738
12,4.34,2.075182756066169,2.9133333333333327,1.5002725188624884
13,4.125454545454546,1.9905055630904964,3.1630303030303035,1.4489715170769493
14,4.764545454545455,1.5894328215482638,2.9696969696969693,1.4727896233216133
15,4.5227272727272725,1.9075480778794245,3.3733333333333344,1.6092300345036372
16,4.488181818181818,1.8043865283806722,3.3266666666666667,1.5290728929144384
17,4.565454545454545,1.62009998671136,3.116363636363636,1.5149134358404743
18,4.538181818181819,1.7650266310354816,2.8678787878787886,1.5783400749213858
19,4.45,1.710462457402038,3.5575757575757576,1.4960370054791714
20,4.620909090909091,1.7821453781216416,2.8393939393939407,1.4717261842586438
21,4.69181818181818,1.6282574471039855,3.155151515151515,1.5222818887316276
22,4.638181818181818,1.816179806877362,3.4242424242424243,1.4691564141811653
23,4.851818181818182,1.7769718415382492,3.2545454545454544,1.6672395709556902
24,4.623636363636362,1.6107603050518036,3.112121212121213,1.4931585641532903
25,4.5645454545454545,1.5516610667654527,3.1763636363636367,1.4661179790094165
26,4.440000000000001,1.397265333865813,3.088484848484849,1.5509449709871408
27,4.531818181818183,1.5712486480661125,3.135151515151515,1.3745918168654911
28,4.509999999999999,1.5522787834302196,3.212727272727273,1.5440039538052976
29,4.424545454545453,1.338992775519182,3.122424242424241,1.2760268916050217
30,4.694545454545456,1.538353740660762,3.10909090909091,1.5103560475153863
31,4.242727272727272,1.4137491916388507,3.266666666666667,1.5268999063955033
32,4.78,1.525441542906986,3.322424242424241,1.404868355547499
33,4.341818181818182,1.5527698525138982,3.205454545454544,1.678927792003625
34,4.471818181818182,1.6068394623767617,3.2775757575757574,1.5982010088366436
35,4.60909090909091,1.402801211743639,3.5515151515151513,1.4114317474090354
36,4.659999999999999,1.3541256213317534,3.3290909090909104,1.4764326749046741
37,4.378181818181819,1.3964962058282013,3.298787878787879,1.4858315854965314
38,4.64,1.3391695959106786,3.456969696969696,1.5003132822526037
39,4.654545454545454,1.2967218681374144,3.2175757575757564,1.5229880976679369
40,4.4754545454545465,1.2734968452556266,3.1939393939393956,1.4907735833959936
41,4.459090909090907,1.527401239181947,3.4193939393939394,1.430975188749708
42,4.622727272727274,1.279163918572797,3.3612121212121218,1.4996643640411753
43,4.676363636363634,1.3365998554368164,3.2533333333333325,1.5551066386212653
44,4.5945454545454565,1.27054488213548,3.521818181818183,1.342636825633191
45,4.660000000000002,1.3060330447770403,3.541212121212121,1.421758116998348
46,4.676363636363638,1.1644400633596501,3.478787878787877,1.409426483339077
47,4.766363636363635,1.2352438110459296,3.4309090909090902,1.2286119143148204
