round,bid1_mean,bid1_std,bid2_mean,bid2_std
4390,0.939292929292928,0.004163528049601004,0.9176767676767666,0.1131797785797412
4391,0.939292929292928,0.004163528049601004,0.9283838383838373,0.072952722949429
4392,0.939292929292928,0.004163528049601004,0.9305050505050494,0.07360968604057445
4393,0.939292929292928,0.004163528049601004,0.9031313131313119,0.14618988508712064
4394,0.939292929292928,0.004163528049601004,0.9331313131313119,0.05766924892173313
4395,0.939292929292928,0.004163528049601004,0.9185858585858577,0.12472044037004253
4396,0.939292929292928,0.004163528049601004,0.9282828282828273,0.0589417958015966
4397,0.939292929292928,0.004163528049601004,0.9379797979797969,0.02045398427961965
4398,0.939292929292928,0.004163528049601004,0.9305050505050494,0.08963506827547182
4399,0.9393939393939381,0.004285495643554838,0.9217171717171706,0.08127861743206632
4400,0.9393939393939381,0.004285495643554838,0.9242424242424231,0.0849746536688813
4401,0.9394949494949482,0.004401769407979991,0.9273737373737364,0.07087562881356607
4402,0.9394949494949482,0.004401769407979991,0.9172727272727262,0.12241569960526284
4403,0.9394949494949482,0.004401769407979991,0.9394949494949484,0.01343814027002798
4404,0.9394949494949482,0.004401769407979991,0.9157575757575747,0.11287145480440253
4405,0.9394949494949482,0.004401769407979991,0.9207070707070699,0.1141492354520624
4406,0.9394949494949482,0.004401769407979991,0.9407070707070696,0.014044037027253058
4407,0.9394949494949482,0.004401769407979991,0.9357575757575747,0.037346973764174035
4408,0.9394949494949482,0.004401769407979991,0.9304040404040395,0.08444945855298823
4409,0.9394949494949482,0.004401769407979991,0.8961616161616152,0.16757986733959856
4410,0.9394949494949482,0.004401769407979991,0.9407070707070696,0.010463690920064769
4411,0.9394949494949482,0.004401769407979991,0.9232323232323221,0.09394482443302159
4412,0.9394949494949482,0.004401769407979991,0.9197979797979788,0.10341402104649641
4413,0.9394949494949482,0.004401769407979991,0.9237373737373725,0.09301023045388494
4414,0.9394949494949482,0.004401769407979991,0.9347474747474739,0.028833739830217545
4415,0.9394949494949482,0.004401769407979991,0.918181818181817,0.10462715784615087
4416,0.9394949494949482,0.004401769407979991,0.9372727272727261,0.02759979712140546
4417,0.9394949494949482,0.004401769407979991,0.9305050505050494,0.06922368952836302
4418,0.9394949494949482,0.004401769407979991,0.9283838383838373,0.0749260084630815
4419,0.9394949494949482,0.004401769407979991,0.9228282828282818,0.07730434422830132
4420,0.9394949494949482,0.004401769407979991,0.918080808080807,0.11272378800594827
4421,0.9394949494949482,0.004401769407979991,0.9266666666666654,0.07071601675007899
4422,0.9394949494949482,0.004401769407979991,0.9241414141414132,0.10506502424916442
4423,0.9394949494949482,0.004401769407979991,0.9168686868686858,0.11095356139597475
4424,0.9395959595959583,0.0045127894754926675,0.935959595959595,0.031434109734012214
4425,0.9395959595959583,0.0045127894754926675,0.9318181818181805,0.08506915748344626
4426,0.9395959595959583,0.0045127894754926675,0.9387878787878777,0.014485003450701703
4427,0.9395959595959583,0.0045127894754926675,0.918888888888888,0.0992210761730751
4428,0.9395959595959583,0.0045127894754926675,0.9248484848484838,0.08681370117888242
4429,0.9395959595959583,0.0045127894754926675,0.9241414141414132,0.0741512530283949
4430,0.9395959595959583,0.0045127894754926675,0.9312121212121199,0.04317978021063648
4431,0.9395959595959583,0.0045127894754926675,0.9325252525252516,0.055008880566036374
4432,0.9395959595959583,0.0045127894754926675,0.9319191919191908,0.07617554731522846
4433,0.9395959595959583,0.0045127894754926675,0.9320202020202007,0.05390296882319463
4434,0.9395959595959583,0.0045127894754926675,0.9357575757575747,0.046869557637330764
4435,0.9395959595959583,0.0045127894754926675,0.925959595959595,0.0727420720071534
4436,0.9395959595959583,0.0045127894754926675,0.9104040404040393,0.13019457548988406
4437,0.9396969696969684,0.00439248785962807,0.9210101010100997,0.10180876178966722
4438,0.9396969696969684,0.00439248785962807,0.9317171717171707,0.05281814221772575
4439,0.9396969696969684,0.00439248785962807,0.9331313131313119,0.038695702765409616
4440,0.9396969696969684,0.00439248785962807,0.934343434343433,0.026667431883725435
4441,0.9396969696969684,0.00439248785962807,0.9224242424242414,0.1061988517001882
4442,0.9396969696969684,0.00439248785962807,0.9226262626262617,0.09923922425251935
4443,0.9396969696969684,0.00439248785962807,0.9241414141414129,0.10152892011758445
