round,bid1_mean,bid1_std,bid2_mean,bid2_std
0,1.0,0.0,1.0,0.0
1,0.4505050505050505,0.28812500546393843,0.27676767676767683,0.19509336816982414
2,0.4454545454545455,0.2092860066715197,0.501010101010101,0.23154018233364693
3,0.7020202020202021,0.2501810384191644,0.5010101010101011,0.19753609318658
4,0.503030303030303,0.2927132606387695,0.4353535353535354,0.24395350984943923
5,0.6555555555555557,0.2763120189258464,0.45858585858585854,0.3068845794223555
6,0.402020202020202,0.2907196352778535,0.502020202020202,0.25973741380515597
7,0.5737373737373738,0.19957101222246185,0.44646464646464656,0.2486080010168107
8,0.45858585858585865,0.28352007746018315,0.5222222222222224,0.1795623242866787
9,0.494949494949495,0.3436125503183075,0.4424242424242424,0.2536057691261537
10,0.3717171717171717,0.2795553774483689,0.4404040404040404,0.25099333317975525
11,0.4292929292929294,0.31048901465528544,0.4828282828282829,0.18831273876957902
12,0.5050505050505051,0.25926363195402957,0.5797979797979799,0.2584437740959181
13,0.5757575757575758,0.24280273483648646,0.5444444444444445,0.2680272148480336
14,0.5595959595959596,0.23659662176900773,0.4555555555555556,0.2118059224883543
15,0.4727272727272728,0.3548834326799937,0.41717171717171714,0.23980274518083752
16,0.3353535353535354,0.2797742760626374,0.5646464646464647,0.13381074614582966
17,0.45555555555555555,0.26810333839998757,0.6414141414141415,0.20966592479562837
18,0.5202020202020202,0.27254951184041504,0.5222222222222224,0.18832628362274012
19,0.6838383838383839,0.24052496746382093,0.586868686868687,0.2030504035479406
20,0.4333333333333334,0.26287672594500827,0.4686868686868687,0.2533400994698388
21,0.6424242424242425,0.210246647270536,0.5404040404040404,0.20424282388634982
22,0.5767676767676767,0.2537123612454666,0.594949494949495,0.25347095644802636
23,0.5171717171717172,0.26940740328354995,0.5686868686868688,0.26808811541881783
24,0.6090909090909091,0.21753786376446518,0.6636363636363637,0.18832628362274012
25,0.3272727272727273,0.29818346061796164,0.5818181818181818,0.2669114273117373
26,0.6181818181818182,0.24157257807649157,0.5686868686868687,0.2336392240432446
27,0.4555555555555556,0.2215531709785623,0.5575757575757576,0.2544091345732515
28,0.31010101010101015,0.279418478731283,0.5141414141414141,0.27184481249679987
29,0.49696969696969695,0.34820805872056304,0.5040404040404042,0.20648846449818764
30,0.4626262626262627,0.33582782573501,0.46565656565656577,0.24386984808671233
31,0.5979797979797981,0.2547698225524759,0.4494949494949495,0.18127021804422547
32,0.42727272727272725,0.256655118420116,0.5171717171717172,0.19046766345861801
33,0.31818181818181823,0.30145211936113453,0.5474747474747476,0.18118858444265587
34,0.25555555555555565,0.19937920181328464,0.4686868686868686,0.22668611162745508
35,0.5292929292929294,0.2816787606324074,0.3898989898989899,0.17682250232027427
36,0.7242424242424244,0.21593729510391255,0.3626262626262627,0.19868201582915693
37,0.6252525252525254,0.3081867676701298,0.49191919191919187,0.20965619190523244
38,0.47474747474747475,0.28694692346145034,0.4191919191919193,0.1219882559023789
39,0.302020202020202,0.22831187801221636,0.5414141414141415,0.24289516549800624
40,0.3595959595959597,0.2140937625655463,0.42727272727272736,0.20136509944669162
41,0.4505050505050505,0.30860858915439693,0.5626262626262626,0.15405613431853765
42,0.5404040404040404,0.2552679341241693,0.494949494949495,0.20769799050464446
43,0.45151515151515154,0.3381364993831339,0.5383838383838384,0.1025190325027677
44,0.5040404040404041,0.3732306146678407,0.5191919191919192,0.2073144660359539
45,0.6787878787878789,0.1697330408993533,0.5101010101010102,0.2087392739308427
46,0.7797979797979799,0.2326216791874677,0.5282828282828284,0.10091409578998008
47,0.47676767676767673,0.2692937628333581,0.48686868686868695,0.12941913032765226
48,0.6383838383838383,0.2738025938927641,0.47777777777777775,0.17750495594996007
49,0.38888888888888895,0.2447802185061138,0.5494949494949496,0.194359813669587
50,0.5090909090909091,0.25800914223687577,0.4686868686868687,0.15306946860213835
51,0.5868686868686869,0.2360461478177564,0.49393939393939396,0.13041260759439416
52,0.5434343434343434,0.3419397066492411,0.484848484848485,0.21555659689428777
53,0.4454545454545455,0.2916184533153717,0.4828282828282829,0.1536416431663155
54,0.48686868686868695,0.2243606931722911,0.5161616161616162,0.2126712445521521
55,0.49696969696969695,0.2522746231008329,0.47575757575757577,0.16082191199845527
56,0.49191919191919203,0.23100416046210281,0.5343434343434345,0.17096985332462056
57,0.6020202020202021,0.2866338489625477,0.4949494949494951,0.19643802888941797
58,0.6606060606060606,0.2931799693692305,0.5808080808080808,0.1544001429482319
59,0.697979797979798,0.30189856001094134,0.4737373737373739,0.1929504457175515
60,0.47777777777777775,0.2757057708396365,0.5808080808080808,0.17705604184806167
61,0.5595959595959596,0.2801168733009259,0.5212121212121212,0.2336021015373559
62,0.601010101010101,0.35417690707030514,0.493939393939394,0.22311345617212083
63,0.4787878787878788,0.26706428880259786,0.4737373737373738,0.1522842433288761
64,0.601010101010101,0.18871595821880077,0.4444444444444445,0.15674476558602687
65,0.6959595959595959,0.20425281473035553,0.6131313131313132,0.15713808681774755
66,0.4737373737373738,0.27382681456545443,0.3676767676767677,0.12173288804188144
67,0.4747474747474748,0.1766955119650091,0.5242424242424242,0.1968764347973429
68,0.5252525252525253,0.2919523940434734,0.4626262626262626,0.17610554199755565
69,0.7515151515151517,0.23899937650376166,0.5050505050505051,0.11805656835302611
70,0.5616161616161616,0.2552659356200326,0.4717171717171718,0.19181549564344885
71,0.46868686868686876,0.3412945818988441,0.4363636363636364,0.16317430712168626
72,0.5838383838383839,0.25807240690827027,0.5535353535353537,0.1708713572023475
73,0.5717171717171718,0.22396925758694322,0.5646464646464647,0.14036043214942068
74,0.5262626262626264,0.2193315200377576,0.4434343434343434,0.096193229673172
75,0.48989898989898994,0.31776467765994665,0.5343434343434343,0.21811867773246194
76,0.4666666666666668,0.2622685987222393,0.5434343434343434,0.18068106819261437
77,0.5262626262626263,0.24092338436728433,0.5141414141414142,0.12374871108646619
78,0.45757575757575764,0.24894635634595,0.4707070707070707,0.14214816712931136
79,0.5686868686868687,0.2496829946074487,0.5232323232323233,0.20321866733243826
80,0.6020202020202021,0.34123478643227817,0.4737373737373738,0.12457047927050413
81,0.43232323232323233,0.260707833858596,0.5313131313131314,0.14673955391785762
