round,regret1_mean,regret1_std,regret2_mean,regret2_std
0,0.08577484818662512,0.0,0.10185122668758861,0.0
1,0.6009263633381403,0.0,0.10185122668758861,0.0
2,0.6009263633381403,0.0,0.11195223678859872,0.0
3,0.7524415148532919,0.0,0.3840666366129825,0.0
4,0.7524415148532919,0.0,0.7679050204513662,0.0
5,0.8635526259644031,0.0,0.851830599032831,0.0
6,0.8635526259644031,0.0,0.8518305990328311,0.0
7,0.8635526259644031,0.0,0.8720326192348513,0.0
8,0.8635526259644031,0.0,1.0406322931786391,0.0
9,1.5882388647958148,0.0,0.9920511517253725,0.0
10,1.5478348243917746,0.0,1.7072656715745091,0.0
11,1.5478348243917746,0.0,2.033184507903324,0.0
12,1.5781378546948046,0.0,2.033184507903324,0.0
13,1.2525656509521648,0.0,2.6863612445708434,0.0
14,1.2525656509521648,0.0,2.6863612445708434,0.0
15,1.0354528511126935,0.0,2.4201881782392483,0.0
16,0.7188324220142763,0.0,2.4201881782392483,0.0
17,0.6403642217165122,0.0,2.962288857110843,0.0
18,0.6403642217165122,0.0,3.066416455894327,0.0
19,0.6311717313474641,0.0,3.066416455894327,0.0
20,0.6311717313474641,0.0,3.268436657914529,0.0
21,0.6311717313474641,0.0,3.1573255468034183,0.0
22,0.6311717313474641,0.0,3.112727130337977,0.0
23,0.641272741448474,0.0,3.420831923212218,0.0
24,0.6390549601447706,0.0,3.420831923212218,0.0
25,0.6444598132308639,0.0,3.3753175666427997,0.0
26,0.6444598132308639,0.0,3.3753175666427992,0.0
27,0.6444598132308639,0.0,3.4056205969458295,0.0
28,0.6444598132308639,0.0,3.5672367585619913,0.0
29,0.6444598132308639,0.0,3.556816903764447,0.0
30,0.6444598132308639,0.0,3.556816903764447,0.0
31,0.6444598132308639,0.0,3.774989027044409,0.0
32,0.6848638536349045,0.0,3.774989027044409,0.0
33,0.5936035817900511,0.0,3.774989027044409,0.0
34,0.5936035817900511,0.0,3.89620114825653,0.0
35,1.219866208052677,0.0,3.89620114825653,0.0
36,1.219866208052677,0.0,3.6614867433306832,0.0
37,1.4521894403759092,0.0,3.6614867433306832,0.0
38,1.46229045047692,0.0,3.9761639418919428,0.0
39,1.46229045047692,0.0,3.9761639418919428,0.0
40,1.46229045047692,0.0,4.127679093407095,0.0
41,1.1205042319127836,0.0,4.127679093407095,0.0
42,1.1205042319127836,0.0,4.1147443885160255,0.0
43,0.8505183407462793,0.0,4.1147443885160255,0.0
44,0.8505183407462793,0.0,3.850269319471555,0.0
45,1.103043593271532,0.0,3.850269319471555,0.0
46,1.103043593271532,0.0,3.8603703295725653,0.0
47,1.1737506639786028,0.0,3.869904672623126,0.0
48,1.5070839973119359,0.0,3.869904672623126,0.0
49,1.5070839973119359,0.0,4.102794571996808,0.0
50,1.5070839973119359,0.0,4.38562285482509,0.0
51,1.4878918889043842,0.0,4.38562285482509,0.0
52,1.4878918889043842,0.0,4.38562285482509,0.0
53,1.4076716708605561,0.0,4.38562285482509,0.0
54,1.1041980042856299,0.0,4.38562285482509,0.0
55,1.1951070951947207,0.0,4.38562285482509,0.0
56,1.1951070951947207,0.0,4.192890930039084,0.0
57,1.1951070951947207,0.0,4.243395980544134,0.0
58,1.1951070951947207,0.0,4.253496990645145,0.0
59,1.5890464891341152,0.0,4.253496990645145,0.0
60,1.3781977360617423,0.0,4.253496990645145,0.0
