round,bid1_mean,bid1_std,bid2_mean,bid2_std
0,0.0,0.0,0.0,0.0
1,0.42555555555555563,0.2947129776753725,0.4541414141414141,0.2677050490110212
2,0.4011111111111111,0.29124312682458087,0.5496969696969697,0.30782463268773314
3,0.44282828282828285,0.28572727826217054,0.5104040404040406,0.27033539613870183
4,0.4847474747474751,0.29481280560369777,0.49535353535353543,0.2802513192814332
5,0.46838383838383846,0.26886018181875787,0.5236363636363636,0.27883076818384167
6,0.4446464646464646,0.27365715027072934,0.4391919191919193,0.2839173835925698
7,0.43363636363636376,0.2772916039277343,0.4906060606060606,0.29853314483904986
8,0.44999999999999984,0.23183688663782076,0.49727272727272726,0.2813556720278202
9,0.43858585858585886,0.26366221476260315,0.492020202020202,0.28619673400307194
10,0.4123232323232321,0.25254698896349387,0.4760606060606063,0.25284285078511426
11,0.4423232323232324,0.25741248538855865,0.42222222222222244,0.2663259224899129
12,0.4963636363636364,0.253324069877193,0.5341414141414141,0.2849461828301595
13,0.47222222222222243,0.24124026957903325,0.5049494949494951,0.2724409083938622
14,0.4971717171717171,0.26133552281336403,0.488989898989899,0.26492427010549546
15,0.46969696969696983,0.22603478788485099,0.5535353535353538,0.28035717012868977
16,0.5015151515151515,0.21929837288350346,0.4590909090909092,0.2654793548051763
17,0.4845454545454547,0.2283027389189586,0.5248484848484849,0.2697666463166871
18,0.5082828282828284,0.21328148283264997,0.49060606060606093,0.29142860108026336
19,0.4982828282828283,0.22424722444584722,0.4908080808080807,0.2658162710791256
20,0.5062626262626262,0.18258692702327875,0.5142424242424244,0.26777431041500765
21,0.47595959595959597,0.2252062279730406,0.4792929292929292,0.24326610977127217
22,0.48050505050505055,0.2214967727179263,0.5050505050505051,0.26421431290249303
23,0.49585858585858594,0.22365057485893292,0.5112121212121212,0.2949629684206415
24,0.4670707070707071,0.22788523524083637,0.5012121212121212,0.2805528234508618
25,0.5019191919191921,0.20978363266331085,0.4781818181818182,0.256248192997827
26,0.487070707070707,0.22726859704440106,0.4957575757575758,0.28456422523902963
27,0.47505050505050517,0.20654752828506398,0.4847474747474749,0.25900177646538114
28,0.4939393939393941,0.21809060944284214,0.49484848484848504,0.27835750340903664
29,0.5000000000000001,0.20930063165890114,0.5282828282828284,0.2622510917789887
30,0.501010101010101,0.20860970343321333,0.48696969696969705,0.29076980040728956
31,0.4829292929292929,0.2081626542966145,0.5111111111111112,0.25399571870385085
32,0.49868686868686896,0.19645701213387554,0.46535353535353535,0.2602544609618946
33,0.527878787878788,0.1979675320875641,0.4858585858585859,0.26987849979682804
